week_date,metric,score
2024-01-21,Sleep Quality,
2024-01-21,Staff service,8.0
2024-01-21,Value,
2024-01-21,Value for Price,6.1
2024-01-21,Working order of hotel amenities,6.0
2024-01-28,Bar staff service,
2024-01-28,Cleanliness,
2024-01-28,Efficiency of check-in process,
2024-01-28,Hotel cleanliness,
2024-01-28,Knowledge of front desk staff,
2024-01-28,Likelihood To Recommend,
2024-01-28,Likelihood to Recommend,
2024-01-28,Likelihood to Return,
2024-01-28,Location,5.0
2024-01-28,Overall Satisfaction with Service,
2024-01-28,Overall Score,4.6
2024-01-28,Overall arrival experience,
2024-01-28,Overall bar experience,
2024-01-28,Overall departure experience,
2024-01-28,Overall experience,
2024-01-28,Overall food & beverage,
2024-01-28,Overall guest room,
2024-01-28,Overall guest room cleanliness,
2024-01-28,Overall meeting and event experience,
2024-01-28,Overall restaurant experience,
2024-01-28,Quality of food and beverage,
2024-01-28,Restaurant staff service,
2024-01-28,Rooms,
2024-01-28,Sample Size (Red = less than 75),0.0
2024-01-28,Sample size,9.0
2024-01-28,Service,5.0
2024-01-28,Sleep Quality,
2024-01-28,Staff service,
2024-01-28,Value,5.0
2024-01-28,Value for Price,
2024-01-28,Working order of hotel amenities,
2024-02-04,Bar staff service,
2024-02-04,Cleanliness,
2024-02-04,Efficiency of check-in process,
2024-02-04,Hotel cleanliness,
2024-02-04,Knowledge of front desk staff,
2024-02-04,Likelihood To Recommend,
2024-02-04,Likelihood to Recommend,
2024-02-04,Likelihood to Return,
2024-02-04,Location,5.0
2024-02-04,Overall Satisfaction with Service,
2024-02-04,Overall Score,3.5
2024-02-04,Overall arrival experience,
2024-02-04,Overall bar experience,
2024-02-04,Overall departure experience,
2024-02-04,Overall experience,
2024-02-04,Overall food & beverage,
2024-02-04,Overall guest room,
2024-02-04,Overall guest room cleanliness,
2024-02-04,Overall meeting and event experience,
2024-02-04,Overall restaurant experience,
2024-02-04,Quality of food and beverage,
2024-02-04,Restaurant staff service,
2024-02-04,Rooms,
2024-02-04,Sample Size (Red = less than 75),0.0
2024-02-04,Sample size,11.0
2024-02-04,Service,5.0
2024-02-04,Sleep Quality,
2024-02-04,Staff service,
2024-02-04,Value,5.0
2024-02-04,Value for Price,
2024-02-04,Working order of hotel amenities,
2024-02-11,Bar staff service,
2024-02-11,Cleanliness,
2024-02-11,Efficiency of check-in process,
2024-02-11,Hotel cleanliness,
2024-02-11,Knowledge of front desk staff,
2024-02-11,Likelihood To Recommend,
2024-02-11,Likelihood to Recommend,
2024-02-11,Likelihood to Return,
2024-02-11,Location,4.0
2024-02-11,Overall Satisfaction with Service,
2024-02-11,Overall Score,4.1
2024-02-11,Overall arrival experience,
2024-02-11,Overall bar experience,
2024-02-11,Overall departure experience,
2024-02-11,Overall experience,
2024-02-11,Overall food & beverage,
2024-02-11,Overall guest room,
2024-02-11,Overall guest room cleanliness,
2024-02-11,Overall meeting and event experience,
2024-02-11,Overall restaurant experience,
2024-02-11,Quality of food and beverage,
2024-02-11,Restaurant staff service,
2024-02-11,Rooms,
2024-02-11,Sample Size (Red = less than 75),0.0
2024-02-11,Sample size,12.0
2024-02-11,Service,4.0
2024-02-11,Sleep Quality,
2024-02-11,Staff service,
2024-02-11,Value,5.0
2024-02-11,Value for Price,
2024-02-11,Working order of hotel amenities,
2024-02-18,Bar staff service,
2024-02-18,Cleanliness,
2024-02-18,Efficiency of check-in process,
2024-02-18,Hotel cleanliness,5.0
2024-02-18,Knowledge of front desk staff,
2024-02-18,Likelihood To Recommend,10.0
2024-02-18,Likelihood to Recommend,100.0
2024-02-18,Likelihood to Return,10.0
2024-02-18,Location,4.0
2024-02-18,Overall Satisfaction with Service,10.0
2024-02-18,Overall Score,3.2
2024-02-18,Overall arrival experience,5.0
2024-02-18,Overall bar experience,
2024-02-18,Overall departure experience,9.0
2024-02-18,Overall experience,
2024-02-18,Overall food & beverage,10.0
2024-02-18,Overall guest room,
2024-02-18,Overall guest room cleanliness,
2024-02-18,Overall meeting and event experience,
2024-02-18,Overall restaurant experience,10.0
2024-02-18,Quality of food and beverage,
2024-02-18,Restaurant staff service,10.0
2024-02-18,Rooms,
2024-02-18,Sample Size (Red = less than 75),1.0
2024-02-18,Sample size,9.0
2024-02-18,Service,2.0
2024-02-18,Sleep Quality,
2024-02-18,Staff service,
2024-02-18,Value,1.0
2024-02-18,Value for Price,3.0
2024-02-18,Working order of hotel amenities,3.0
2024-02-25,Bar staff service,
2024-02-25,Cleanliness,
2024-02-25,Efficiency of check-in process,
2024-02-25,Hotel cleanliness,8.6
2024-02-25,Knowledge of front desk staff,
2024-02-25,Likelihood To Recommend,7.5
2024-02-25,Likelihood to Recommend,23.8
2024-02-25,Likelihood to Return,6.8
2024-02-25,Location,5.0
2024-02-25,Overall Satisfaction with Service,8.0
2024-02-25,Overall Score,4.7
2024-02-25,Overall arrival experience,8.0
2024-02-25,Overall bar experience,
2024-02-25,Overall departure experience,8.7
2024-02-25,Overall experience,
2024-02-25,Overall food & beverage,7.5
2024-02-25,Overall guest room,
2024-02-25,Overall guest room cleanliness,
2024-02-25,Overall meeting and event experience,5.0
2024-02-25,Overall restaurant experience,8.2
2024-02-25,Quality of food and beverage,
2024-02-25,Restaurant staff service,9.2
2024-02-25,Rooms,
2024-02-25,Sample Size (Red = less than 75),42.0
2024-02-25,Sample size,6.0
2024-02-25,Service,5.0
2024-02-25,Sleep Quality,
2024-02-25,Staff service,
2024-02-25,Value,
2024-02-25,Value for Price,7.2
2024-02-25,Working order of hotel amenities,8.0
2024-03-03,Bar staff service,
2024-03-03,Cleanliness,
2024-03-03,Efficiency of check-in process,
2024-03-03,Hotel cleanliness,8.5
2024-03-03,Knowledge of front desk staff,
2024-03-03,Likelihood To Recommend,8.1
2024-03-03,Likelihood to Recommend,36.8
2024-03-03,Likelihood to Return,7.8
2024-03-03,Location,
2024-03-03,Overall Satisfaction with Service,8.2
2024-03-03,Overall Score,3.5
2024-03-03,Overall arrival experience,8.2
2024-03-03,Overall bar experience,
2024-03-03,Overall departure experience,8.9
2024-03-03,Overall experience,
2024-03-03,Overall food & beverage,8.0
2024-03-03,Overall guest room,
2024-03-03,Overall guest room cleanliness,
2024-03-03,Overall meeting and event experience,5.5
2024-03-03,Overall restaurant experience,8.4
2024-03-03,Quality of food and beverage,
2024-03-03,Restaurant staff service,9.1
2024-03-03,Rooms,
2024-03-03,Sample Size (Red = less than 75),57.0
2024-03-03,Sample size,12.0
2024-03-03,Service,
2024-03-03,Sleep Quality,
2024-03-03,Staff service,
2024-03-03,Value,
2024-03-03,Value for Price,7.6
2024-03-03,Working order of hotel amenities,7.7
2024-03-10,Bar staff service,
2024-03-10,Cleanliness,
2024-03-10,Efficiency of check-in process,
2024-03-10,Hotel cleanliness,8.7
2024-03-10,Knowledge of front desk staff,
2024-03-10,Likelihood To Recommend,8.1
2024-03-10,Likelihood to Recommend,34.8
2024-03-10,Likelihood to Return,7.7
2024-03-10,Location,
2024-03-10,Overall Satisfaction with Service,8.4
2024-03-10,Overall Score,4.3
2024-03-10,Overall arrival experience,9.0
2024-03-10,Overall bar experience,
2024-03-10,Overall departure experience,9.2
2024-03-10,Overall experience,
2024-03-10,Overall food & beverage,7.6
2024-03-10,Overall guest room,
2024-03-10,Overall guest room cleanliness,
2024-03-10,Overall meeting and event experience,10.0
2024-03-10,Overall restaurant experience,8.4
2024-03-10,Quality of food and beverage,
2024-03-10,Restaurant staff service,9.0
2024-03-10,Rooms,
2024-03-10,Sample Size (Red = less than 75),23.0
2024-03-10,Sample size,6.0
2024-03-10,Service,
2024-03-10,Sleep Quality,
2024-03-10,Staff service,
2024-03-10,Value,
2024-03-10,Value for Price,7.9
2024-03-10,Working order of hotel amenities,8.1
2024-03-17,Bar staff service,
2024-03-17,Cleanliness,
2024-03-17,Efficiency of check-in process,
2024-03-17,Hotel cleanliness,8.0
2024-03-17,Knowledge of front desk staff,
2024-03-17,Likelihood To Recommend,8.5
2024-03-17,Likelihood to Recommend,50.0
2024-03-17,Likelihood to Return,6.5
2024-03-17,Location,
2024-03-17,Overall Satisfaction with Service,9.0
2024-03-17,Overall Score,4.1
2024-03-17,Overall arrival experience,8.5
2024-03-17,Overall bar experience,
2024-03-17,Overall departure experience,8.0
2024-03-17,Overall experience,
2024-03-17,Overall food & beverage,7.0
2024-03-17,Overall guest room,
2024-03-17,Overall guest room cleanliness,
2024-03-17,Overall meeting and event experience,
2024-03-17,Overall restaurant experience,7.0
2024-03-17,Quality of food and beverage,
2024-03-17,Restaurant staff service,7.0
2024-03-17,Rooms,
2024-03-17,Sample Size (Red = less than 75),2.0
2024-03-17,Sample size,9.0
2024-03-17,Service,
2024-03-17,Sleep Quality,
2024-03-17,Staff service,
2024-03-17,Value,
2024-03-17,Value for Price,7.0
2024-03-17,Working order of hotel amenities,7.5
2024-03-24,Bar staff service,
2024-03-24,Cleanliness,5.0
2024-03-24,Efficiency of check-in process,
2024-03-24,Hotel cleanliness,8.7
2024-03-24,Knowledge of front desk staff,
2024-03-24,Likelihood To Recommend,7.6
2024-03-24,Likelihood to Recommend,31.1
2024-03-24,Likelihood to Return,7.0
2024-03-24,Location,4.8
2024-03-24,Overall Satisfaction with Service,7.8
2024-03-24,Overall Score,4.4
2024-03-24,Overall arrival experience,8.2
2024-03-24,Overall bar experience,
2024-03-24,Overall departure experience,9.0
2024-03-24,Overall experience,
2024-03-24,Overall food & beverage,8.3
2024-03-24,Overall guest room,
2024-03-24,Overall guest room cleanliness,
2024-03-24,Overall meeting and event experience,10.0
2024-03-24,Overall restaurant experience,8.1
2024-03-24,Quality of food and beverage,
2024-03-24,Restaurant staff service,8.7
2024-03-24,Rooms,5.0
2024-03-24,Sample Size (Red = less than 75),45.0
2024-03-24,Sample size,12.0
2024-03-24,Service,5.0
2024-03-24,Sleep Quality,5.0
2024-03-24,Staff service,
2024-03-24,Value,5.0
2024-03-24,Value for Price,7.1
2024-03-24,Working order of hotel amenities,7.9
2024-03-31,Bar staff service,
2024-03-31,Cleanliness,5.0
2024-03-31,Efficiency of check-in process,
2024-03-31,Hotel cleanliness,9.2
2024-03-31,Knowledge of front desk staff,
2024-03-31,Likelihood To Recommend,8.0
2024-03-31,Likelihood to Recommend,40.9
2024-03-31,Likelihood to Return,7.2
2024-03-31,Location,5.0
2024-03-31,Overall Satisfaction with Service,8.5
2024-03-31,Overall Score,4.0
2024-03-31,Overall arrival experience,8.6
2024-03-31,Overall bar experience,
2024-03-31,Overall departure experience,8.6
2024-03-31,Overall experience,
2024-03-31,Overall food & beverage,8.4
2024-03-31,Overall guest room,
2024-03-31,Overall guest room cleanliness,
2024-03-31,Overall meeting and event experience,
2024-03-31,Overall restaurant experience,8.9
2024-03-31,Quality of food and beverage,
2024-03-31,Restaurant staff service,9.1
2024-03-31,Rooms,4.5
2024-03-31,Sample Size (Red = less than 75),22.0
2024-03-31,Sample size,21.0
2024-03-31,Service,5.0
2024-03-31,Sleep Quality,5.0
2024-03-31,Staff service,
2024-03-31,Value,4.5
2024-03-31,Value for Price,7.1
2024-03-31,Working order of hotel amenities,8.5
2024-04-07,Bar staff service,
2024-04-07,Cleanliness,5.0
2024-04-07,Efficiency of check-in process,
2024-04-07,Hotel cleanliness,6.4
2024-04-07,Knowledge of front desk staff,
2024-04-07,Likelihood To Recommend,4.0
2024-04-07,Likelihood to Recommend,-37.5
2024-04-07,Likelihood to Return,3.5
2024-04-07,Location,5.0
2024-04-07,Overall Satisfaction with Service,4.6
2024-04-07,Overall Score,3.7
2024-04-07,Overall arrival experience,5.0
2024-04-07,Overall bar experience,
2024-04-07,Overall departure experience,5.4
2024-04-07,Overall experience,
2024-04-07,Overall food & beverage,5.1
2024-04-07,Overall guest room,
2024-04-07,Overall guest room cleanliness,
2024-04-07,Overall meeting and event experience,
2024-04-07,Overall restaurant experience,6.5
2024-04-07,Quality of food and beverage,
2024-04-07,Restaurant staff service,7.2
2024-04-07,Rooms,5.0
2024-04-07,Sample Size (Red = less than 75),8.0
2024-04-07,Sample size,14.0
2024-04-07,Service,5.0
2024-04-07,Sleep Quality,5.0
2024-04-07,Staff service,
2024-04-07,Value,5.0
2024-04-07,Value for Price,3.9
2024-04-07,Working order of hotel amenities,5.0
2024-04-14,Bar staff service,
2024-04-14,Cleanliness,5.0
2024-04-14,Efficiency of check-in process,
2024-04-14,Hotel cleanliness,7.8
2024-04-14,Knowledge of front desk staff,
2024-04-14,Likelihood To Recommend,6.1
2024-04-14,Likelihood to Recommend,-14.3
2024-04-14,Likelihood to Return,6.1
2024-04-14,Location,5.0
2024-04-14,Overall Satisfaction with Service,7.3
2024-04-14,Overall Score,4.3
2024-04-14,Overall arrival experience,7.5
2024-04-14,Overall bar experience,
2024-04-14,Overall departure experience,8.3
2024-04-14,Overall experience,
2024-04-14,Overall food & beverage,7.9
2024-04-14,Overall guest room,
2024-04-14,Overall guest room cleanliness,
2024-04-14,Overall meeting and event experience,
2024-04-14,Overall restaurant experience,7.0
2024-04-14,Quality of food and beverage,
2024-04-14,Restaurant staff service,8.0
2024-04-14,Rooms,5.0
2024-04-14,Sample Size (Red = less than 75),14.0
2024-04-14,Sample size,11.0
2024-04-14,Service,5.0
2024-04-14,Sleep Quality,5.0
2024-04-14,Staff service,
2024-04-14,Value,5.0
2024-04-14,Value for Price,6.0
2024-04-14,Working order of hotel amenities,5.8
2024-04-21,Bar staff service,
2024-04-21,Cleanliness,3.0
2024-04-21,Efficiency of check-in process,
2024-04-21,Hotel cleanliness,8.8
2024-04-21,Knowledge of front desk staff,
2024-04-21,Likelihood To Recommend,8.3
2024-04-21,Likelihood to Recommend,36.4
2024-04-21,Likelihood to Return,7.5
2024-04-21,Location,5.0
2024-04-21,Overall Satisfaction with Service,8.5
2024-04-21,Overall Score,4.7
2024-04-21,Overall arrival experience,9.0
2024-04-21,Overall bar experience,
2024-04-21,Overall departure experience,9.4
2024-04-21,Overall experience,
2024-04-21,Overall food & beverage,7.8
2024-04-21,Overall guest room,
2024-04-21,Overall guest room cleanliness,
2024-04-21,Overall meeting and event experience,
2024-04-21,Overall restaurant experience,7.8
2024-04-21,Quality of food and beverage,
2024-04-21,Restaurant staff service,8.8
2024-04-21,Rooms,5.0
2024-04-21,Sample Size (Red = less than 75),11.0
2024-04-21,Sample size,10.0
2024-04-21,Service,4.5
2024-04-21,Sleep Quality,4.5
2024-04-21,Staff service,
2024-04-21,Value,4.5
2024-04-21,Value for Price,7.8
2024-04-21,Working order of hotel amenities,8.0
2024-04-28,Bar staff service,
2024-04-28,Cleanliness,
2024-04-28,Efficiency of check-in process,
2024-04-28,Hotel cleanliness,8.6
2024-04-28,Knowledge of front desk staff,
2024-04-28,Likelihood To Recommend,8.0
2024-04-28,Likelihood to Recommend,35.7
2024-04-28,Likelihood to Return,7.7
2024-04-28,Location,
2024-04-28,Overall Satisfaction with Service,8.3
2024-04-28,Overall Score,4.1
2024-04-28,Overall arrival experience,8.6
2024-04-28,Overall bar experience,
2024-04-28,Overall departure experience,8.6
2024-04-28,Overall experience,
2024-04-28,Overall food & beverage,8.1
2024-04-28,Overall guest room,
2024-04-28,Overall guest room cleanliness,
2024-04-28,Overall meeting and event experience,
2024-04-28,Overall restaurant experience,7.8
2024-04-28,Quality of food and beverage,
2024-04-28,Restaurant staff service,8.5
2024-04-28,Rooms,
2024-04-28,Sample Size (Red = less than 75),14.0
2024-04-28,Sample size,17.0
2024-04-28,Service,
2024-04-28,Sleep Quality,
2024-04-28,Staff service,
2024-04-28,Value,
2024-04-28,Value for Price,7.2
2024-04-28,Working order of hotel amenities,7.1
2024-05-05,Bar staff service,
2024-05-05,Cleanliness,5.0
2024-05-05,Efficiency of check-in process,
2024-05-05,Hotel cleanliness,7.2
2024-05-05,Knowledge of front desk staff,
2024-05-05,Likelihood To Recommend,4.8
2024-05-05,Likelihood to Recommend,-53.8
2024-05-05,Likelihood to Return,3.1
2024-05-05,Location,5.0
2024-05-05,Overall Satisfaction with Service,5.5
2024-05-05,Overall Score,3.8
2024-05-05,Overall arrival experience,6.4
2024-05-05,Overall bar experience,
2024-05-05,Overall departure experience,7.2
2024-05-05,Overall experience,
2024-05-05,Overall food & beverage,5.4
2024-05-05,Overall guest room,
2024-05-05,Overall guest room cleanliness,
2024-05-05,Overall meeting and event experience,1.0
2024-05-05,Overall restaurant experience,8.2
2024-05-05,Quality of food and beverage,
2024-05-05,Restaurant staff service,8.3
2024-05-05,Rooms,5.0
2024-05-05,Sample Size (Red = less than 75),13.0
2024-05-05,Sample size,16.0
2024-05-05,Service,5.0
2024-05-05,Sleep Quality,5.0
2024-05-05,Staff service,
2024-05-05,Value,5.0
2024-05-05,Value for Price,4.4
2024-05-05,Working order of hotel amenities,5.7
2024-05-12,Bar staff service,
2024-05-12,Cleanliness,5.0
2024-05-12,Efficiency of check-in process,
2024-05-12,Hotel cleanliness,7.5
2024-05-12,Knowledge of front desk staff,
2024-05-12,Likelihood To Recommend,5.6
2024-05-12,Likelihood to Recommend,-16.7
2024-05-12,Likelihood to Return,4.8
2024-05-12,Location,5.0
2024-05-12,Overall Satisfaction with Service,6.5
2024-05-12,Overall Score,3.8
2024-05-12,Overall arrival experience,6.9
2024-05-12,Overall bar experience,
2024-05-12,Overall departure experience,7.9
2024-05-12,Overall experience,
2024-05-12,Overall food & beverage,7.2
2024-05-12,Overall guest room,
2024-05-12,Overall guest room cleanliness,
2024-05-12,Overall meeting and event experience,8.0
2024-05-12,Overall restaurant experience,8.6
2024-05-12,Quality of food and beverage,
2024-05-12,Restaurant staff service,9.2
2024-05-12,Rooms,5.0
2024-05-12,Sample Size (Red = less than 75),24.0
2024-05-12,Sample size,15.0
2024-05-12,Service,5.0
2024-05-12,Sleep Quality,5.0
2024-05-12,Staff service,
2024-05-12,Value,5.0
2024-05-12,Value for Price,4.9
2024-05-12,Working order of hotel amenities,6.0
2024-05-19,Bar staff service,
2024-05-19,Cleanliness,4.5
2024-05-19,Efficiency of check-in process,
2024-05-19,Hotel cleanliness,7.8
2024-05-19,Knowledge of front desk staff,
2024-05-19,Likelihood To Recommend,6.5
2024-05-19,Likelihood to Recommend,-7.7
2024-05-19,Likelihood to Return,5.3
2024-05-19,Location,4.5
2024-05-19,Overall Satisfaction with Service,6.9
2024-05-19,Overall Score,3.8
2024-05-19,Overall arrival experience,7.2
2024-05-19,Overall bar experience,
2024-05-19,Overall departure experience,8.9
2024-05-19,Overall experience,
2024-05-19,Overall food & beverage,7.4
2024-05-19,Overall guest room,
2024-05-19,Overall guest room cleanliness,
2024-05-19,Overall meeting and event experience,
2024-05-19,Overall restaurant experience,8.2
2024-05-19,Quality of food and beverage,
2024-05-19,Restaurant staff service,8.3
2024-05-19,Rooms,4.5
2024-05-19,Sample Size (Red = less than 75),13.0
2024-05-19,Sample size,23.0
2024-05-19,Service,4.0
2024-05-19,Sleep Quality,4.5
2024-05-19,Staff service,
2024-05-19,Value,4.0
2024-05-19,Value for Price,5.2
2024-05-19,Working order of hotel amenities,6.6
2024-05-26,Bar staff service,
2024-05-26,Cleanliness,
2024-05-26,Efficiency of check-in process,
2024-05-26,Hotel cleanliness,7.3
2024-05-26,Knowledge of front desk staff,
2024-05-26,Likelihood To Recommend,6.0
2024-05-26,Likelihood to Recommend,-33.3
2024-05-26,Likelihood to Return,5.0
2024-05-26,Location,
2024-05-26,Overall Satisfaction with Service,6.5
2024-05-26,Overall Score,4.2
2024-05-26,Overall arrival experience,7.8
2024-05-26,Overall bar experience,
2024-05-26,Overall departure experience,7.9
2024-05-26,Overall experience,
2024-05-26,Overall food & beverage,7.5
2024-05-26,Overall guest room,
2024-05-26,Overall guest room cleanliness,
2024-05-26,Overall meeting and event experience,10.0
2024-05-26,Overall restaurant experience,8.7
2024-05-26,Quality of food and beverage,
2024-05-26,Restaurant staff service,8.6
2024-05-26,Rooms,
2024-05-26,Sample Size (Red = less than 75),21.0
2024-05-26,Sample size,27.0
2024-05-26,Service,
2024-05-26,Sleep Quality,
2024-05-26,Staff service,
2024-05-26,Value,
2024-05-26,Value for Price,5.4
2024-05-26,Working order of hotel amenities,6.0
2024-06-02,Bar staff service,
2024-06-02,Cleanliness,
2024-06-02,Efficiency of check-in process,
2024-06-02,Hotel cleanliness,9.3
2024-06-02,Knowledge of front desk staff,
2024-06-02,Likelihood To Recommend,8.0
2024-06-02,Likelihood to Recommend,33.3
2024-06-02,Likelihood to Return,7.3
2024-06-02,Location,
2024-06-02,Overall Satisfaction with Service,8.8
2024-06-02,Overall Score,4.2
2024-06-02,Overall arrival experience,9.0
2024-06-02,Overall bar experience,
2024-06-02,Overall departure experience,9.8
2024-06-02,Overall experience,
2024-06-02,Overall food & beverage,8.2
2024-06-02,Overall guest room,
2024-06-02,Overall guest room cleanliness,
2024-06-02,Overall meeting and event experience,
2024-06-02,Overall restaurant experience,9.0
2024-06-02,Quality of food and beverage,
2024-06-02,Restaurant staff service,8.3
2024-06-02,Rooms,
2024-06-02,Sample Size (Red = less than 75),6.0
2024-06-02,Sample size,17.0
2024-06-02,Service,
2024-06-02,Sleep Quality,
2024-06-02,Staff service,
2024-06-02,Value,
2024-06-02,Value for Price,7.0
2024-06-02,Working order of hotel amenities,9.2
2024-06-09,Bar staff service,
2024-06-09,Cleanliness,5.0
2024-06-09,Efficiency of check-in process,
2024-06-09,Hotel cleanliness,9.5
2024-06-09,Knowledge of front desk staff,
2024-06-09,Likelihood To Recommend,8.5
2024-06-09,Likelihood to Recommend,25.0
2024-06-09,Likelihood to Return,7.8
2024-06-09,Location,4.7
2024-06-09,Overall Satisfaction with Service,8.0
2024-06-09,Overall Score,3.9
2024-06-09,Overall arrival experience,8.8
2024-06-09,Overall bar experience,
2024-06-09,Overall departure experience,10.0
2024-06-09,Overall experience,
2024-06-09,Overall food & beverage,7.3
2024-06-09,Overall guest room,
2024-06-09,Overall guest room cleanliness,
2024-06-09,Overall meeting and event experience,
2024-06-09,Overall restaurant experience,10.0
2024-06-09,Quality of food and beverage,
2024-06-09,Restaurant staff service,10.0
2024-06-09,Rooms,4.7
2024-06-09,Sample Size (Red = less than 75),4.0
2024-06-09,Sample size,27.0
2024-06-09,Service,3.7
2024-06-09,Sleep Quality,4.7
2024-06-09,Staff service,
2024-06-09,Value,4.0
2024-06-09,Value for Price,7.2
2024-06-09,Working order of hotel amenities,8.2
2024-06-16,Bar staff service,
2024-06-16,Cleanliness,5.0
2024-06-16,Efficiency of check-in process,
2024-06-16,Hotel cleanliness,7.4
2024-06-16,Knowledge of front desk staff,
2024-06-16,Likelihood To Recommend,4.9
2024-06-16,Likelihood to Recommend,-60.0
2024-06-16,Likelihood to Return,3.4
2024-06-16,Location,5.0
2024-06-16,Overall Satisfaction with Service,5.1
2024-06-16,Overall Score,3.9
2024-06-16,Overall arrival experience,5.1
2024-06-16,Overall bar experience,
2024-06-16,Overall departure experience,6.8
2024-06-16,Overall experience,
2024-06-16,Overall food & beverage,5.3
2024-06-16,Overall guest room,
2024-06-16,Overall guest room cleanliness,
2024-06-16,Overall meeting and event experience,8.0
2024-06-16,Overall restaurant experience,4.8
2024-06-16,Quality of food and beverage,
2024-06-16,Restaurant staff service,7.5
2024-06-16,Rooms,5.0
2024-06-16,Sample Size (Red = less than 75),15.0
2024-06-16,Sample size,24.0
2024-06-16,Service,5.0
2024-06-16,Sleep Quality,5.0
2024-06-16,Staff service,
